Region/Haplogroup,I1,I2*/I2a,I2b,R1a,R1b,G,J2,J*/J1,E1b1b,T,Q,N
Albania,2,12,1.5,9,16,1.5,19.5,2,27.5,1,0,0
Austria,12,7,2.5,19,32,7.5,9,1,8,1,0.5,0.5
Belarus,5.5,17.5,1,51,5.5,1.5,2.5,1,4,0,0,10
Belgium,12,3,4.5,4,61,4,4,1,5,1,0.5,0
Bosnia-Herzegovina,4.5,50.5,0,18,3.5,1.5,5.5,1,11.5,0.5,0.5,1
Bulgaria,4,20,2,17,11,5,11,3,23.5,1.5,0.5,0.5
Croatia,5.5,37,1,24,8.5,2.5,6,1,10,0.5,1,0.5
Czech Republic,7.5,8.5,3,33,28,5,4,1,6.5,0.5,0,2.5
Cyprus,0.5,4,0,3.5,9.5,13,28.5,9.5,24.5,2.5,0.5,1
Denmark,34,2,5.5,15,33,2.5,3,0,2.5,0,1,1
Greenland,14.5,0,2,9,21.5,0,2,0,0.5,0,49.5,0
England,14,2.5,4.5,4.5,67,1.5,3.5,0,2,0.5,0.5,0
Estonia,15,3,0.5,32,8,0,1,0,2.5,3.5,0.5,34
Finland,28,0,0.5,5,3.5,0,0,0,0.5,0,0,61.5
France,8.5,3,3.5,3,58.5,5.5,6,1.5,7.5,1,0.5,0
Germany,16,1.5,4.5,16,44.5,5,4.5,0,5.5,1,0.5,1
Greece,3.5,9.5,1.5,11.5,15.5,6.5,23,3,21,4.5,0,0
Hungary,8.5,16,2,29.5,18.5,3.5,6.5,3,8,0,0,0.5
Iceland,29,0,4,23,42,0,0,0,0,0,1,1
Ireland,6,1,5,2.5,81,1,1,0,2,0,0,0
Italy,4.5,3,2.5,4,39,9,15.5,3,13.5,2.5,0,0
Kosovo,5.5,2.5,0,4.5,21,0,16.5,0,47.5,0,0,0
Latvia,6,1,1,40,12,0,0.5,0,0.5,0.5,0.5,38
Lithuania,6,6,1,38,5,0,0,0,1,0.5,0.5,42
Macedonia,3,23,1.5,13.5,12.5,4,14,2,21.5,1.5,0.5,0.5
Malta,1,10,1,3.5,32.5,6.5,21,8,9,4.5,1,0
Moldova,5,21,3,30.5,16,1,4,4,13,1,0,1.5
Montenegro,6,29.5,1.5,7.5,9.5,2.5,9,0.5,27,0,2,1.5
Netherlands,16.5,1,6.5,4,49,4.5,3.5,0.5,3.5,1,0,0
Norway,31.5,0,4.5,25.5,32,1,0.5,0,1,0,1,2.5
Poland,8.5,5.5,2,57.5,12.5,1.5,2.5,0,3.5,0.5,0.5,4
Portugal,2,1.5,3,1.5,56,6.5,9.5,3,14,2.5,0.5,0
Romania,3.5,28,2.5,18,15.5,3,13.5,1,14,1,0.5,1.5
Russia,5,10.5,0,46,6,1,3,0,2.5,1.5,1.5,23
Scotland,9,1,4,8.5,72.5,0.5,2,0,1.5,0.5,0.5,0
Serbia,8,34,0.5,18,6,2.5,9,1,15,0.5,1,-2.5
Slovakia,6.5,16,1.5,41.5,14.5,4,2,1,6.5,0.5,0.5,3
Slovenia,9,20.5,1.5,38,18,1.5,2.5,0,5,1,0,0
Spain,1.5,4.5,1,2,69,3,8,1.5,7,2.5,0,0
Sweden,37,1.5,3.5,16,21.5,1,2.5,0,3,0,2.5,7
Switzerland,14,1.5,8,3.5,50,7.5,3,0.5,7.5,0.5,1.5,1
Turkey/Anatolia,1,4,0.5,7.5,16,11,24,9,11,2.5,2,4
Ukraine,4.5,20.5,0.5,44,8,3,4.5,0.5,6.5,1,0.5,5.5
Wales,12,1,3,1,74,2.5,0.5,0,4,1,0,0